timestamp,factor,pi
2023-12-11 10:00:59,1,4.0
2023-12-11 10:01:59,1,4.0
2023-12-11 10:02:59,8,3.017071817071820
2023-12-11 10:03:59,27,3.1786170109992200
2023-12-11 10:04:59,64,3.125968606973290
2023-12-11 10:05:59,125,3.1495925256000300
2023-12-11 10:06:59,216,3.1369630487667600
2023-12-11 10:07:59,343,3.1445080992896700
2023-12-11 10:08:59,512,3.139639530452430
2023-12-11 10:09:59,729,3.1429643950569900
2023-12-11 10:10:59,1000,3.140592653839790
2023-12-11 10:11:59,1331,3.14234396828467
2023-12-11 10:12:59,1728,3.141013949934540
2023-12-11 10:13:59,2197,3.142047819701860
2023-12-11 10:14:59,2744,3.1412282221150100
2023-12-11 10:15:59,3375,3.14188894987959
2023-12-11 10:16:59,4096,3.141348512968430
2023-12-11 10:17:59,4913,3.1417961952119400
2023-12-11 10:18:59,5832,3.141421185826990
2023-12-11 10:19:59,6859,3.141738447436510
2023-12-11 10:20:59,8000,3.141467653590270
2023-12-11 10:21:59,9261,3.141700633289280
2023-12-11 10:22:59,10648,3.141498739239880
2023-12-11 10:23:59,12167,3.141674843118690
2023-12-11 10:24:59,13824,3.141520315626920
2023-12-11 10:25:59,15625,3.141656653589720
2023-12-11 10:26:59,17576,3.1415357578228800
2023-12-11 10:27:59,19683,3.1416434588531900
2023-12-11 10:28:59,21952,3.141547099653950
2023-12-11 10:29:59,24389,3.1416336556808800
2023-12-11 10:30:59,27000,3.1415556165527700
2023-12-11 10:31:59,29791,3.1416262207744900
2023-12-11 10:32:59,32768,3.1415621360116800
2023-12-11 10:33:59,35937,3.1416204800639000
2023-12-11 10:34:59,39304,3.141567210886770
2023-12-11 10:35:59,42875,3.1416159772049500
2023-12-11 10:36:59,46656,3.1415712201192900
2023-12-11 10:37:59,50653,3.141612395757070
2023-12-11 10:38:59,54872,3.1415744293588400
2023-12-11 10:39:59,59319,3.141609511594790
2023-12-11 10:40:59,64000,3.141577028589770
2023-12-11 10:41:59,68921,3.141607162955560
2023-12-11 10:42:59,74088,3.1415791561272700
2023-12-11 10:43:59,79507,3.141605231098650
2023-12-11 10:44:59,85184,3.1415809142959600
2023-12-11 10:45:59,91125,3.1416036275266300
2023-12-11 10:46:59,97336,3.141582379898580
2023-12-11 10:47:59,103823,3.1416022853668900
2023-12-11 10:48:59,110592,3.1415836113443600
2023-12-11 10:49:59,117649,3.1416011534494800
2023-12-11 10:50:59,125000,3.141584653589730
2023-12-11 10:51:59,132651,3.1416001921684200
2023-12-11 10:52:59,140608,3.1415855416188900
2023-12-11 10:53:59,148877,3.141599370544010
2023-12-11 10:54:59,157464,3.1415863029318100
2023-12-11 10:55:59,166375,3.141598664108150
2023-12-11 10:56:59,175616,3.141586959347790
2023-12-11 10:57:59,185193,3.1415980533619200
2023-12-11 10:58:59,195112,3.1415875283283900
2023-12-11 10:59:59,205379,3.141597522636730